2020-07-03 09:27:31.619  INFO [shop,,,] 20488 --- [Thread-86] .b.c.e.AwaitingNonWebApplicationListener :  [Dubbo] Current Spring Boot Application is about to shutdown...
2020-07-03 09:27:31.631  INFO [shop,,,] 20488 --- [Thread-86] o.a.d.r.support.AbstractRegistryFactory  :  [DUBBO] Close all registries [nacos://127.0.0.1:8848/org.apache.dubbo.registry.RegistryService?application=shop&check=false&dubbo=2.0.2&interface=org.apache.dubbo.registry.RegistryService&namespace=z&pid=20488&qos.enable=false&release=2.7.3&timeout=12001&timestamp=1593691742553], dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.632  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy registry:nacos://127.0.0.1:8848/org.apache.dubbo.registry.RegistryService?application=shop&check=false&dubbo=2.0.2&interface=org.apache.dubbo.registry.RegistryService&namespace=z&pid=20488&qos.enable=false&release=2.7.3&timeout=12001&timestamp=1593691742553, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.633  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.authority.NewUserService?application=shop&category=consumers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.authority.NewUserService&lazy=false&methods=pageSystemUserList,resetPassword,getUser,save,update,delete,listAllSystemUserRole,getUserInfoByNickName,removeUserRole,assignUserSystem,assignUserRole,getByUserId,getByPage,removeUserSystem,saveUser,listUserSystemAssign,getByUserIds,getUserInfoByNickNamePrecise,updatePassword,listUserByShopId,updateBaseInfo,listUserRoleAssign,listSystemUserAndIsRole,batchAssignUserRole&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691742460, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.645  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unregister url consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.authority.NewUserService?application=shop&category=consumers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.authority.NewUserService&lazy=false&methods=pageSystemUserList,resetPassword,getUser,save,update,delete,listAllSystemUserRole,getUserInfoByNickName,removeUserRole,assignUserSystem,assignUserRole,getByUserId,getByPage,removeUserSystem,saveUser,listUserSystemAssign,getByUserIds,getUserInfoByNickNamePrecise,updatePassword,listUserByShopId,updateBaseInfo,listUserRoleAssign,listSystemUserAndIsRole,batchAssignUserRole&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691742460, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.645  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.order.AngsiOrderServiceMs?application=shop&category=consumers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.order.AngsiOrderServiceMs&lazy=false&methods=getBookingSkuCount,transfer,getOrderListByShopId,getBDeal,updateComment&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691748281, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.650  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unregister url consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.order.AngsiOrderServiceMs?application=shop&category=consumers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.order.AngsiOrderServiceMs&lazy=false&methods=getBookingSkuCount,transfer,getOrderListByShopId,getBDeal,updateComment&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691748281, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.651  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: dubbo://192.168.10.23:6098/com.angsi.shop.service.FenceService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.FenceService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.FenceService&methods=createOrUpdate,createOrUpdateBatch,findAll&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691770402, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.656  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unregister url dubbo://192.168.10.23:6098/com.angsi.shop.service.FenceService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.FenceService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.FenceService&methods=createOrUpdate,createOrUpdateBatch,findAll&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691770402, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.656  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: dubbo://192.168.10.23:6098/com.angsi.shop.service.MaterialService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.MaterialService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.MaterialService&methods=findAllMaterial,updateMaterial,createMaterial,deleteMaterial,updateMaterialInventory,findMaterial&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691770517, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.669  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unregister url dubbo://192.168.10.23:6098/com.angsi.shop.service.MaterialService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.MaterialService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.MaterialService&methods=findAllMaterial,updateMaterial,createMaterial,deleteMaterial,updateMaterialInventory,findMaterial&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691770517, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.669  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: dubbo://192.168.10.23:6098/com.angsi.shop.service.CompanyService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.CompanyService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.CompanyService&methods=deleteCompany,updateCompany,findAllCompany,findCompany,createCompany&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691770279, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.674  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unregister url dubbo://192.168.10.23:6098/com.angsi.shop.service.CompanyService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.CompanyService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.CompanyService&methods=deleteCompany,updateCompany,findAllCompany,findCompany,createCompany&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691770279, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.674  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: dubbo://192.168.10.23:6098/com.angsi.shop.service.StoreTypeService?anyhost=true&application=shop&bean.name=ServiceBean:com.angsi.shop.service.StoreTypeService&cluster=failfast&deprecated=false&dispatcher=message&dubbo=2.0.2&dynamic=true&generic=false&interface=com.angsi.shop.service.StoreTypeService&methods=findStoreType,findAllStoreType,updateStoreType,deleteStoreType,createStoreType&pid=20488&register=true&release=2.7.3&retries=0&revision=1.0.0-SNAPSHOT&serialization=hessian2&side=provider&timeout=5000&timestamp=1593691770654, dubbo version: 2.7.3, current host: 192.168.10.23
